version,n_cases,correctness,faithfulness,citation_hit,avg_latency_s,avg_llm_calls,false_premise_detected,refusal_correct
A1_full_without_router,60,0.5666666666666667,0.9916666666666667,0.8333333333333334,8.26613552981483,1.7833333333333334,1.0,0.7142857142857143
A2_full_without_verifier,60,0.48333333333333334,0.9833333333333333,0.8333333333333334,6.423579136781942,2.0,0.125,0.8571428571428571
A3_full_topk2,60,0.5666666666666667,1.0,0.7666666666666667,8.001991077731752,2.716666666666667,1.0,0.8571428571428571
A4_full_without_calculation_guard,60,0.525,0.9916666666666667,0.8333333333333334,9.963960839514645,2.8333333333333335,1.0,0.8571428571428571
V0_baseline_single_call,60,0.5333333333333333,0.6333333333333333,0.0,2.698993667399251,1.0,0.0,1.0
V1_retrieval_only,60,0.4666666666666667,0.9833333333333333,0.8166666666666667,5.228220531248978,1.0,0.125,0.5714285714285714
V2_router_rewrite_retrieval,60,0.4666666666666667,0.9833333333333333,0.8333333333333334,6.578632128448165,2.0,0.125,0.7142857142857143
V3_retrieval_verifier,60,0.55,0.9916666666666667,0.8166666666666667,8.485106484099257,1.7833333333333334,1.0,0.5714285714285714
V4_full_router_retrieval_verifier,60,0.575,0.9916666666666667,0.8333333333333334,9.449676913114793,2.716666666666667,1.0,0.8571428571428571
