version,n_cases,correctness,faithfulness,citation_hit,avg_latency_s,avg_llm_calls,false_premise_detected,refusal_correct
A1_full_without_router,60,0.5833333333333334,0.975,0.95,5.756914255566153,1.8,1.0,0.5
A2_full_without_verifier,60,0.525,0.975,0.95,4.451464109016342,2.0,0.2,1.0
A3_full_topk2,60,0.5333333333333333,1.0,0.8166666666666667,5.977302809099334,2.7666666666666666,1.0,1.0
A4_full_without_calculation_guard,60,0.5666666666666667,0.975,0.95,7.135390675015818,2.8666666666666667,1.0,1.0
V0_baseline_single_call,60,0.4083333333333333,0.6083333333333333,0.0,2.0037249456999535,1.0,0.0,1.0
V1_retrieval_only,60,0.49166666666666664,0.975,0.9166666666666666,3.425375416717361,1.0,0.0,0.5
V2_router_rewrite_retrieval,60,0.5083333333333333,0.975,0.95,4.515254565249658,2.0,0.2,0.5
V3_retrieval_verifier,60,0.5583333333333333,0.9833333333333333,0.9166666666666666,6.00270884098342,1.8,1.0,0.5
V4_full_router_retrieval_verifier,60,0.5916666666666667,0.975,0.95,6.777198795849169,2.7666666666666666,1.0,1.0
